userID,shopID,shopname,service,commentID,serviceComment
1,1,小公寓,服務態度,1,GOOOOD
1,1,小公寓,用餐氣氛,2,讚啦
2,2,惜惜咖啡,設備,1,很棒！
2,3,Ruins Coffee Roasters,裝潢,2,裝潢很溫馨
3,4,Backstage Caf?,服務態度,1,櫃檯人員有點兇
3,5,Rebirth cafe心，聚點,服務態度,2,佳
4,6,躲貓貓 Third Floor Caf?,服務態度,1,上菜速度有點慢
4,7,Coffee Woodrow 伍拙咖啡,用餐氣氛,2,很棒！
5,8,草泥 caf?,用餐氣氛,1,很棒！
5,9,Strange Brew Coffe Roster 怪咖啡自家烘焙,設備,2,冷氣不夠涼
6,10,老木咖啡,設備,1,廁所乾淨
6,11,咖啡瑪榭中山店,設備,2,冷氣有點太冷
7,12,伴鹿咖啡DeerFriend Caf?,設備,1,空間寬敞
7,13,Vinyl Decision 黑膠咖啡,裝潢,2,有點老舊
8,14,PearNature 梨本咖啡,裝潢,1,裝潢很新
9,15,光孚空間,用餐氣氛,1,不太好
10,16,這間咖啡,服務態度,1,GOOOOD
11,17,A N G L E,用餐氣氛,1,讚啦
12,18,小南通咖啡,設備,1,很棒！
13,19,4Mano Caff?,裝潢,1,裝潢很溫馨
14,20,杯盃 PuiBui Cafe,服務態度,1,櫃檯人員有點兇
15,21,淡水長堤咖啡餐館LB Cafe,服務態度,1,佳
16,22,淡水紅樓咖啡廳,服務態度,1,上菜速度有點慢
17,23,Binma Area 134,用餐氣氛,1,很棒！
18,24,空兩格復古咖啡館keeptwoblanks,用餐氣氛,1,很棒！
19,25,安克黑咖啡,設備,1,冷氣不夠涼
20,26,白水 cafe restaurant,設備,1,廁所乾淨
21,27,沒有特別計畫cafe,服務態度,1,櫃檯人員有點兇
22,28,天使熱愛生活,服務態度,1,佳
23,29,Coffee Boom,服務態度,1,上菜速度有點慢
24,30,暇俵咖啡,用餐氣氛,1,很棒！
25,31,Instil Coffee Dimension,用餐氣氛,1,很棒！
26,32,彼得好咖啡,設備,1,冷氣不夠涼
27,33,Bros Coffee,設備,1,廁所乾淨
28,34,Homey's cafe,設備,1,冷氣有點太冷
29,35,fly caf?,設備,1,空間寬敞
